prj_id,mst_pr,dup_pr,idn_cmt
202,3627,3600,8506
202,1171,1170,1851
202,6795,6603,16882
202,7669,7587,19362
202,28433,28349,106192
202,17136,16651,51223
202,13332,13292,39737
202,9488,9457,25596
202,21295,20806,64958
202,23790,23101,76750
202,27829,27430,103839
202,8383,8363,21624
202,9428,9349,25096
202,22947,22749,74634
202,18033,18000,55002
202,2459,2420,5710
202,12134,11062,31177
202,21899,21887,69606
202,15218,15022,46572
202,13480,12010,34904
202,14246,14107,43666
202,10980,10738,29952
202,9768,9467,25549
202,7010,6996,17951
202,10373,10253,28489
202,13342,12014,34912
202,17425,17408,53644
202,16480,16475,50540
202,5772,5638,13915
202,27959,27781,103540
202,11048,11032,31130
202,10228,10180,28184
202,21450,21295,66839
202,12565,12520,36719
202,1010,1004,1619
202,10547,8726,29532
202,6471,6466,16455
202,24321,24292,82934
22091370,11475,11474,214900
22091370,28994,28604,401633
22091370,30772,30771,418394
22091370,28037,28026,393838
22091370,26097,25973,377882
22091370,15043,14871,253228
22091370,30884,30802,419336
22091370,44344,43215,527766
22091370,13165,13154,231844
22091370,15902,15840,261805
22091370,40322,39503,489615
22091370,661,657,144053
22091370,45455,40210,546182
22091370,39342,39293,487362
22091370,34246,34083,444520
22091370,36168,36163,462121
22091370,6976,5012,181485
22091370,41959,41663,516344
22091370,46923,46913,562040
22091370,19932,19807,312518
22091370,10440,7053,205230
22091370,8309,8303,189921
22091370,35835,35817,458985
22091370,1211,1210,148081
22091370,22110,20384,319788
22091370,28966,25342,369734
22091370,34424,32408,446719
22091370,36434,32811,464480
22091370,36195,36186,462229
22091370,45463,45263,544377
22091370,28414,24299,360286
22091370,30848,29741,419170
22091370,2716,2694,156670
22091370,23043,22845,346484
22091370,11284,10824,213224
22091370,17024,14548,248801
22091370,38591,38452,480861
22091370,16283,14493,267964
22091370,45920,45918,550841
22091370,45263,43027,544377
22091370,13322,13144,231670
22091370,14675,14564,250118
22091370,21786,21601,333022
22091370,47455,47074,565233
22091370,37347,37332,472360
22091370,13758,13738,238697
22091370,18073,17769,285786
22091370,24783,24549,364542
22091370,37140,36826,468236
22091370,5307,5302,170564
22091370,10746,10512,206098
22091370,2669,2652,156486
22091370,29854,29185,409530
22091370,19884,19725,311018
22091370,7503,7456,184538
22091370,9575,7227,198294
22091370,37137,35550,455957
22091370,44288,40234,535399
22091370,47322,46193,564588
22091370,24556,24537,362713
22091370,38587,38571,480834
22091370,30654,30476,417038
22091370,7679,7615,185499
22091370,16495,16152,266592
22091370,5763,5233,170147
22091370,41036,41006,504370
22091370,41342,41308,508645
22091370,40421,40400,498714
22091370,28996,28978,401655
22091370,42529,42138,522039
22091370,56,52,140998
22091370,35745,32790,435028
22091370,37269,275,471620
22091370,41761,41756,513505
22091370,45273,44727,544464
22091370,30928,30880,419828
22091370,46666,45575,559390
22091370,8639,7439,184398
22091370,61,52,141013
22091370,19759,15998,311700
22091370,34502,32109,430013
22091370,29150,25524,403086
22091370,8931,8743,192389
22091370,46478,46383,557469
22091370,14229,14213,245023
22091370,20810,19559,324971
22091370,22163,22131,337928
22091370,31741,31682,427023
22091370,30993,28284,396051
22091370,35609,35556,456507
22091370,41210,41106,507226
22091370,10895,10784,210051
22091370,26066,26059,377708
22091370,5741,5735,173032
22091370,38751,38370,479355
22091370,85,82,141090
22091370,32064,32049,429636
22091370,10883,10819,209957
22091370,38296,38285,478820
22091370,25591,24509,372436
22091370,46307,45649,555412
22091370,44909,44462,541363
22091370,9966,9854,200135
22091370,25995,23473,376658
22091370,44496,39342,537431
22091370,43902,43871,532366
22091370,10232,9264,203508
22091370,273,169,141247
22091370,13894,12717,226232
22091370,3274,3270,159170
22091370,44838,44583,540672
22091370,21365,21361,330860
22091370,18449,13838,240031
22091370,46927,46784,560832
22091370,47684,47223,566806
22091370,25512,22737,371334
22091370,31372,31361,423332
22091370,3200,3199,158808
22091370,12111,11679,220495
22091370,36597,36294,465937
22091370,42883,42630,524855
22091370,21531,21357,332613
22091370,451,356,142600
22091370,5784,5775,173328
22091370,41546,41427,511113
22091370,5775,5714,172897
22091370,33101,33099,436922
22091370,43145,42152,527270
22091370,38789,33757,442112
22091370,11113,11085,212209
22091370,46695,46346,555813
22091370,9838,9730,200038
22091370,29226,29204,403868
22091370,22501,21535,340951
22091370,20057,19510,315705
22091370,17264,17195,279373
22091370,33276,32120,430179
22091370,54,52,140995
22091370,33683,33675,441668
22091370,40550,39903,499926
22091370,11450,11364,213832
22091370,40380,40379,498475
22091370,46869,46863,561729
22091370,31287,31282,422763
22091370,16227,15791,267318
22091370,45065,45034,542675
22091370,40901,40193,503210
22091370,44727,44463,539492
22091370,44969,43936,532614
22091370,36673,36425,464424
22091370,41942,37571,474237
22091370,3916,3915,162096
22091370,13628,13616,236829
22091370,39883,38317,479061
22091370,46823,46739,561371
22091370,25996,25634,376665
22091370,5298,5293,170550
22091370,21130,20665,322958
22091370,11322,11317,213450
22091370,44500,42007,516834
22091370,4065,4056,162951
22091370,35839,35760,458286
22091370,6964,6952,181391
22091370,19406,19324,307264
22091370,15401,15224,256987
22091370,21532,21357,332618
22091370,46953,46909,562313
22091370,11219,10234,212789
22091370,42202,41745,513379
22091370,41480,41478,510395
22091370,38546,1932,480583
22091370,34811,34144,444907
22091370,44934,44908,541609
22091370,33964,30787,443717
22091370,42113,42049,517341
22091370,18377,18341,295026
22091370,20141,19706,316691
22091370,6614,6239,175984
22091370,34972,29489,406064
22091370,4698,4494,166472
22091370,35320,33616,453954
22091370,28053,28052,393928
22091370,13800,13680,239516
22091370,28294,28251,396100
22091370,3577,3555,160358
22091370,24881,24201,359241
22091370,44313,44312,535575
22091370,2412,2397,155210
22091370,43719,42815,524396
22091370,44839,44583,540680
22091370,44966,44943,541824
22091370,15339,15004,252976
22091370,4393,4390,164384
22091370,12980,12895,229324
22091370,30147,30137,412405
22091370,14472,14448,247190
22091370,10609,10453,207192
22091370,28606,28206,395279
22091370,7142,6847,182583
22091370,14098,14083,243931
22091370,35732,34152,444965
22091370,6949,6938,181128
22091370,43666,42717,530703
22091370,40379,40378,498471
22091370,17169,17167,277516
22091370,29995,29447,405505
22091370,32311,32268,431554
22091370,25688,25326,373538
22091370,7021,6886,181762
22091370,5466,5022,171460
22091370,39634,39632,490775
22091370,25888,24861,365249
22091370,45804,45768,549529
1142,39228,38316,619701
1142,33878,33871,612734
1142,22510,22347,599063
1142,26696,26694,603417
1142,14429,14401,585848
1142,30177,30166,607410
1142,26136,26117,602699
1142,23500,23497,600109
1142,11756,11751,579657
1142,18081,18079,592515
1142,33916,33670,612771
1142,20393,20368,596184
1142,18519,18497,593346
1142,32747,32563,611200
1142,39727,39630,620462
1142,36912,36900,616866
1142,34148,34098,613137
1142,11704,11674,579546
1142,11989,11988,580156
1142,41249,41191,623596
1142,13228,13221,583327
1142,25843,25835,602413
1142,16266,15780,589706
1142,35382,35376,614774
1142,24528,24490,601155
1142,14213,14197,585431
1142,40782,40781,622798
1142,39390,39364,619933
1142,27652,27645,604468
1142,22952,22951,599597
1142,20290,19890,596112
1142,20535,20509,596394
1142,38882,38881,619347
1142,32086,31660,610521
1142,38829,38266,618773
1142,19297,19296,594897
1142,10775,10770,577606
1142,22626,22406,598832
1142,5096,5094,571150
1142,40274,40138,621965
1142,30953,30951,608632
1142,17692,17691,592177
1142,22201,22198,598629
1142,15352,15333,587721
1142,33866,33830,612687
1142,14252,14027,585057
1142,35243,35132,614644
10313229,24024,23871,742402
10313229,19837,19827,760385
10313229,8982,8980,793932
10313229,14331,12524,783645
10313229,37393,37316,661622
10313229,32187,32133,695360
10313229,25837,25816,732666
10313229,9325,9315,793283
10313229,26963,26163,731049
10313229,21143,21096,756536
10313229,7991,7982,795499
10313229,7657,7656,795974
10313229,5109,5102,798050
10313229,33227,33191,688680
10313229,14706,14689,776699
10313229,30719,30718,704693
10313229,22276,22242,7426
10313229,38466,38450,653656
10313229,33744,33546,685005
10313229,20653,20641,757833
10313229,30792,30781,704141
10313229,22367,22352,750596
10313229,7919,7897,795601
10313229,25902,25739,732366
10313229,9326,9325,793277
10313229,9339,9325,793266
10313229,12970,12933,782148
10313229,30676,30608,705514
10313229,19169,19116,762663
10313229,31143,31111,701780
10313229,14014,13832,778931
10313229,9753,7297,792214
10313229,34010,33769,682800
10313229,27034,27020,725530
10313229,22835,22824,748397
10313229,41282,41181,634798
10313229,21890,21745,753051
10313229,22170,21972,751412
10313229,7738,7736,795834
10313229,19019,18814,763165
10313229,24670,24366,740924
10313229,23077,23029,747153
10313229,33327,33189,687950
10313229,28727,28717,716344
10313229,42089,42081,628638
10313229,15809,15707,773489
10313229,19171,19146,762634
10313229,26190,21830,730885
10313229,19948,19885,759803
10313229,37862,36895,658116
10313229,22081,22076,751923
10313229,7202,7146,796485
10313229,23845,23843,743302
10313229,22759,22172,748752
10313229,19702,19701,760818
10313229,8080,8074,795313
10313229,15847,15115,775648
10313229,23413,23409,745523
10313229,32516,31794,697565
10313229,36222,35395,674066
10313229,9316,9315,793344
10313229,19388,504,761867
10313229,23796,23727,743799
10313229,12200,11980,786252
10313229,9643,9594,792870
10313229,12941,12933,782321
10313229,19705,19701,760819
10313229,9606,9604,792832
10313229,34045,34026,682652
10313229,34669,34663,678696
10313229,34253,33738,685040
10313229,19657,19576,760921
10313229,19463,19387,761648
10313229,19876,19763,760218
10313229,11388,11364,788531
10313229,17088,16991,768853
10313229,11301,11281,788602
10313229,22626,22545,749134
10313229,42631,42059,625057
10313229,23988,23967,742511
10313229,11405,11398,788476
10313229,22657,22545,749095
10313229,42418,42413,626368
10313229,19980,19974,759727
10313229,17063,17029,768864
10313229,21355,21185,756338
10313229,31138,31099,701804
10313229,14931,14900,775982
10313229,32942,32864,691213
10313229,7547,7494,796097
10313229,40082,40026,642850
10313229,7270,7226,796393
10313229,19486,18770,761597
10313229,20677,20562,758069
10313229,7707,7676,795961
10313229,22055,21968,752037
10313229,16714,14883,769614
10313229,9526,9506,793027
10313229,19904,19881,759993
10313229,11314,11313,788583
10313229,28564,28531,717205
10313229,27100,26955,725123
10313229,20437,20380,758342
10313229,5663,5660,797706
10313229,38152,37493,660745
10313229,7865,7858,795674
10313229,12503,12484,783685
1334,20193,20125,868186
1334,7868,5396,820924
1334,27589,27588,894243
1334,22308,9264,875979
1334,25240,25225,886652
1334,20813,13869,844846
1334,20902,20900,870700
1334,23974,23649,881923
1334,2679,1333,802489
1334,21302,11173,872282
1334,6060,5587,811293
1334,15674,13428,842914
1334,15683,14847,848332
1334,21144,12670,871721
1334,6895,3008,806098
1334,13236,13195,841947
1334,23155,23146,878910
1334,19571,19435,865634
1334,6743,5264,810333
1334,21449,21447,872652
1334,26882,18942,892216
1334,10718,7010,832103
1334,17874,17873,860015
1334,12746,12072,837636
1334,5088,4874,809885
1334,20697,20050,869804
1334,23284,18726,862761
1334,15260,15251,850188
1334,8175,7350,822335
1334,15674,13606,843869
1334,12962,12252,838277
1334,8185,7145,817462
1334,15950,15195,853074
1334,15224,5892,812273
1334,13262,12132,842027
1334,16049,12118,837771
1334,22500,22461,876434
1334,24157,18313,861347
1334,19096,12177,864399
1334,16964,11173,833939
1334,10606,10482,831723
1334,24450,23103,883482
1334,18989,18742,864115
1334,13455,8920,825700
1334,28776,27331,897633
1334,27266,27265,893350
1334,6743,2523,804897
1334,21572,17169,873200
1334,17678,11518,859264
1334,10417,9717,828921
1334,23816,23792,881413
1334,5927,5710,811654
1334,28235,28139,896403
1334,22534,18412,876751
1334,23269,23242,879430
1334,17229,16130,857911
1334,22737,22727,877419
1334,18157,11867,836815
1334,24608,24493,883614
1334,8646,8546,824762
1334,11659,10887,835936
1334,7350,3457,806931
1334,22270,19789,866847
1334,26266,24962,890183
1334,8742,8737,825101
1334,10534,10057,831468
1334,18706,9052,826318
1334,28287,14012,845414
1334,10592,10585,831652
1334,13306,13295,842177
1334,14253,11867,846143
1334,23310,23307,879584
1334,18896,16400,863490
1334,22702,22696,877337
1334,24386,24379,883315
1334,27768,27121,892966
1334,26797,26357,891864
1334,28399,28068,896758
1334,3070,3064,806277
1334,15845,13685,844163
1334,6936,1777,803292
1334,13900,13715,844252
1334,15458,10077,830002
1334,9054,9042,826319
1334,18085,16625,855607
1334,19772,17885,866771
1334,14438,12743,846854
1334,12144,10538,837877
1334,24119,14141,845727
1334,16257,12136,854039
1334,11202,11201,834102
1334,27615,18799,863059
1334,22686,22570,877267
1334,14509,12519,839033
1334,18706,10891,832878
1334,7661,7658,819941
1334,5279,5273,810369
1334,19501,16146,853611
1334,25976,25921,888991
1334,8919,8741,825696
1334,11676,11496,835994
1334,26869,26643,891317
1334,13509,13348,842613
1334,17885,17668,859232
1334,25828,25355,887176
1334,2062,1139,804004
1334,21836,21828,874062
1334,14030,12413,838790
1334,19936,19844,867491
1334,27414,27356,893639
1334,10748,10740,832177
1334,27503,25276,886815
1334,27254,26686,893331
1334,22691,22685,877280
1334,15569,14519,851388
1334,16796,13548,856212
1334,19021,11183,833996
1334,16890,16889,856427
1334,22283,22221,875513
1334,6313,6210,813908
1334,21414,17502,872527
1334,25218,25192,886624
1334,10905,10846,832649
1334,15720,8639,852168
1334,5283,5281,810371
1334,10738,10737,832157
1334,23827,22854,877813
1334,14203,14201,845924
1334,13691,13014,840933
1334,23338,16558,855414
1334,18383,16122,853532
1334,1270,496,802386
1334,10617,10616,831731
1334,11869,11496,836816
1334,23976,23665,881927
1334,6557,6477,814974
1334,24890,22159,875254
1334,13886,12056,837544
1334,13115,12873,841367
1334,15674,12717,839745
1334,28776,25496,887559
1334,8064,5384,810792
1334,23206,23205,879149
1334,23867,23863,881615
1334,19635,15569,866313
1334,22254,21763,873886
1334,5746,4205,808487
1334,4799,4794,809448
1334,28592,22245,875640
1334,16366,15234,854473
1334,28729,28727,897492
1334,20468,17885,869155
1334,3591,3066,806259
1334,25280,24742,884751
1334,13580,13579,843665
1334,18856,18778,863357
1334,12317,11983,837322
1334,9189,9188,826810
1334,27503,25054,886110
1334,6482,6471,814575
1334,26788,26527,890904
1334,10992,10920,832973
1334,28355,27198,896640
1334,15674,13792,844569
1334,26165,23235,889726
1334,5244,4148,808386
1334,22933,22932,878022
1334,20866,20021,867698
1334,24719,21908,884645
1334,17231,17192,857921
1334,18754,8225,822539
1334,17360,16367,854496
1334,27840,27787,895071
1334,25221,23376,886626
1334,12222,12088,837709
1334,13029,13028,841032
1334,12760,12124,837786
1334,27034,26928,892661
1334,17810,17112,859794
1334,16310,12796,854268
1334,25178,20112,886457
1334,13564,13492,843617
1334,5023,2630,805114
1334,23972,23684,881918
1334,22462,20761,869976
1334,6743,6498,814643
1334,24233,24180,882526
1334,21160,21135,871746
1334,20828,12286,838381
1334,7305,6943,818122
1334,21274,21250,872175
1334,13867,13866,844795
1334,15764,15162,849845
1334,26555,26548,890984
1334,25240,24741,884745
1334,21229,19327,871898
1334,8208,7312,822476
1334,13455,9448,827824
1334,25884,25780,888834
10998645,20206,20205,1315594
10998645,20816,20686,1314504
10998645,4270,3956,1349353
10998645,8616,8614,1340960
10998645,16172,16149,1323898
10998645,13939,13041,1328449
10998645,10126,10005,1337454
10998645,30290,29121,1298482
10998645,12768,12180,1331421
10998645,32237,31744,1296597
10998645,6178,6061,1345786
10998645,9230,9215,1339574
10998645,10843,10833,1335720
10998645,29850,29733,1299064
10998645,7666,7658,1343279
10998645,3332,3303,1350077
10998645,22099,22098,1312461
10998645,30281,29702,1298502
10998645,12424,12282,1332138
10998645,5226,5131,1347131
10998645,29218,29138,1300373
10998645,15001,14957,1326457
10998645,14991,14910,1326362
10998645,4231,4203,1348932
10998645,1443,1442,1352700
10998645,21801,21723,1312808
10998645,1312,607,1353550
10998645,16512,16009,1323382
10998645,5929,5921,1345981
10998645,25158,25133,1307326
10998645,1778,1775,1352341
10998645,27160,26987,1304194
10998645,6766,6579,1345124
10998645,15479,14868,1325218
10998645,15749,14513,1324769
10998645,12299,11857,1332432
10998645,1645,1644,1352479
10998645,12920,10255,1330910
10998645,12416,11857,1332158
10998645,31352,29766,1297119
10998645,7163,7155,1344236
10998645,9426,9405,1339328
10998645,7717,7716,1343202
10998645,19137,18887,1317586
10998645,4247,4231,1348876
10998645,2295,1577,1351736
10998645,12445,12416,1332123
10998645,4723,4601,1348135
10998645,1775,1774,1352359
10998645,14196,13923,1327984
10998645,4989,4976,1347614
10998645,2937,2906,1350986
10998645,1624,1565,1352510
10998645,11794,11782,1333736
10998645,7946,7945,1342777
10998645,4194,3853,1349415
10998645,19760,19693,1316446
10998645,756,743,1353432
10998645,11632,10992,1333930
10998645,16406,16403,1323566
10998645,9715,9233,1339553
17694,13270,13255,1463611
17694,8622,8621,1488999
17694,15543,14981,1451840
17694,13959,13401,1460281
17694,7198,7189,1495481
17694,8749,8234,1490831
17694,9300,7973,1492008
17694,5730,4861,1503990
17694,11128,10715,1476789
17694,13178,12997,1464050
17694,12847,12845,1465905
17694,3236,3233,1518254
17694,5067,5018,1508162
17694,14088,13658,1461656
17694,11679,11643,1471841
17694,11990,11646,1471828
17694,847,710,1525282
17694,4276,4245,1512651
17694,13358,13269,1463612
17694,8449,8226,1490881
17694,8139,8015,1491864
17694,11618,11612,1472011
17694,4887,4776,1509127
17694,14771,14625,1456149
17694,14487,14394,1458008
17694,15373,15358,1452720
17694,14578,14548,1457289
17694,14616,13592,1461923
17694,10678,10644,1477082
17694,8260,7289,1495061
17694,13270,13232,1463789
17694,6039,5714,1504087
17694,4890,4687,1509108
17694,11743,11734,1471489
17694,6029,5987,1502166
17694,11628,11453,1472900
17694,14828,14578,1455905
17694,8903,8470,1487647
17694,8397,8396,1490072
17694,12165,11969,1469091
17694,10411,9263,1478445
17694,5208,5205,1506972
17694,13506,13450,1462387
17694,10797,10651,1477069
17694,13505,13503,1462390
17694,15536,15423,1451859
17694,13204,12045,1463958
17694,7037,7033,1496205
17694,14576,14535,1457239
17694,6894,6863,1496994
17694,11363,11353,1473425
17694,7287,7164,1495085
17694,15414,15412,1452396
17694,13131,13127,1464239
17694,8736,8715,1488323
17694,9393,9367,1484558
17694,4949,3273,1508562
17694,10438,10427,1478249
17694,11649,11031,1471816
17694,14311,14135,1458416
17694,9176,9173,1486194
17694,13332,13300,1463488
17694,7056,6898,1496124
17694,11466,11056,1474762
17694,9581,8754,1483517
17694,10797,10787,1476303
17694,5778,5744,1503723
17694,8979,8846,1487782
17694,8627,8590,1488990
17694,8524,8521,1489508
17694,6250,6108,1501059
17694,15044,15041,1454569
17694,8853,8847,1487781
17694,11433,10793,1476292
17694,15424,15423,1452346
17694,5020,4898,1508154
17694,7968,7958,1492016
17694,14082,11891,1470623
17694,7415,7399,1494537
17694,15634,15628,1451486
17694,6940,4350,1496658
17694,13643,13450,1461707
17694,13378,13367,1463100
